name,appID,playTime,playTime2,logoURL,disabled,
$1 Ride,508290,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/508290/cb59c2e9616f6a46ba2106654cc5f989e41b3e24.jpg,false,
3DMark,223850,108,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/223850/b3685601ae7686e9074eaf07893c89a8d77be6e0.jpg,false,
ABZÛ,384190,11,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/384190/8ddd3b70bf7c92ad9e7fb3eda763fcf558ea8b99.jpg,false,
ACE COMBAT™ ASSAULT HORIZON Enhanced Edition,228400,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/228400/83fa0368512c32d0838ae8bb2a1e2069e3d958ec.jpg,false,
ADR1FT,300060,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/300060/8d730f59bab9744457c45af366566d90378572cb.jpg,false,
Adventurezator: When Pigs Fly,300280,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/300280/f0cc48087020820cc7266e8ae4c51ed88aa7e940.jpg,false,
Age of Empires III: Complete Collection,105450,66,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/105450/c5ad5a14c259ea16f1193c32c2753fc037b9d42b.jpg,false,
Age of Wonders III,226840,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/226840/483f2109667a840b923967648be8c8289c1d2fb9.jpg,false,
Alan Wake,108710,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/108710/0f9b6613ac50bf42639ed6a2e16e9b78e846ef0a.jpg,false,
Alan Wake's American Nightmare,202750,127,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/202750/d3593fa14e4ea8685dc6b1f71dbaa980c013ff02.jpg,false,
Alien: Isolation,214490,57,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/214490/6cdbe0113548dad8cee3d24fbace9abe298ac9af.jpg,false,
American Truck Simulator,270880,15,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/270880/1d93a00f121fc54c8889f6074092faf6a990c712.jpg,false,
Amnesia: A Machine for Pigs,239200,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/239200/5df7be324aa92b538c4ef24cbdec85dbbcf950fc.jpg,false,
Amnesia: The Dark Descent,57300,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/57300/75b8a82acfb05abda97977ac4eb5af20e0dcf01e.jpg,false,
